Timestamp,Source,Destination,TunnelType,PacketSize,PacketType,Name,FreshnessPeriod,MustBeFresh,Nonce,InterestLifetime
1472064887.364838,,,EthernetFrame,96,DATA,/test/pingserver/ping/3887343085482957290,1000,,,
1472064887.364870,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14430724323065940918,,1,4015653788,4000
1472064887.364884,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/16498734565840946026,,1,826534221,4000
1472064887.364888,,,EthernetFrame,97,DATA,/test/pingserver/ping/14092481308067153100,1000,,,
1472064887.364937,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/8603938537114185650,,1,3116761797,4000
1472064887.365006,,,EthernetFrame,97,DATA,/test/pingserver/ping/17847410537998728745,1000,,,
1472064887.365044,,,EthernetFrame,97,DATA,/test/pingserver/ping/14430724323065940918,1000,,,
1472064887.365076,,,EthernetFrame,97,DATA,/test/pingserver/ping/16498734565840946026,1000,,,
1472064887.365188,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/2441659746067994090,,1,1988283788,4000
1472064887.365190,,,EthernetFrame,96,DATA,/test/pingserver/ping/8603938537114185650,1000,,,
1472064887.365280,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265500760,,1,210080861,4000
1472064887.365286,,,EthernetFrame,96,DATA,/test/pingserver/ping/2441659746067994090,1000,,,
1472064887.365381,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265500760,1000,,,
1472064887.365423,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/5049347067686135190,,1,794260429,4000
1472064887.365478,,,EthernetFrame,58,INTEREST,/test/pingserver/ping/399070766912774364,,1,173919454,4000
1472064887.365517,,,EthernetFrame,96,DATA,/test/pingserver/ping/5049347067686135190,1000,,,
1472064887.365622,,,EthernetFrame,95,DATA,/test/pingserver/ping/399070766912774364,1000,,,
1472064887.365768,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/3887343085482957291,,1,3832765071,4000
1472064887.365792,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14092481308067153101,,1,3880702832,4000
1472064887.365828,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/17847410537998728746,,1,3064923837,4000
1472064887.365879,,,EthernetFrame,96,DATA,/test/pingserver/ping/3887343085482957291,1000,,,
1472064887.365887,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/16498734565840946027,,1,952110402,4000
1472064887.365914,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14430724323065940919,,1,2638120799,4000
1472064887.365937,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/8603938537114185651,,1,1051135734,4000
1472064887.365967,,,EthernetFrame,97,DATA,/test/pingserver/ping/14092481308067153101,1000,,,
1472064887.366053,,,EthernetFrame,97,DATA,/test/pingserver/ping/17847410537998728746,1000,,,
1472064887.366124,,,EthernetFrame,97,DATA,/test/pingserver/ping/16498734565840946027,1000,,,
1472064887.366191,,,EthernetFrame,97,DATA,/test/pingserver/ping/14430724323065940919,1000,,,
1472064887.366225,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/2441659746067994091,,1,1704882614,4000
1472064887.366230,,,EthernetFrame,96,DATA,/test/pingserver/ping/8603938537114185651,1000,,,
1472064887.366316,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265500761,,1,1406607760,4000
1472064887.366327,,,EthernetFrame,96,DATA,/test/pingserver/ping/2441659746067994091,1000,,,
1472064887.366418,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265500761,1000,,,
1472064887.366452,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/5049347067686135191,,1,996227565,4000
1472064887.366508,,,EthernetFrame,58,INTEREST,/test/pingserver/ping/399070766912774365,,1,13661968,4000
1472064887.366548,,,EthernetFrame,96,DATA,/test/pingserver/ping/5049347067686135191,1000,,,
1472064887.366639,,,EthernetFrame,95,DATA,/test/pingserver/ping/399070766912774365,1000,,,
1472064887.366796,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/3887343085482957292,,1,3440968787,4000
1472064887.366819,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14092481308067153102,,1,2959409238,4000
1472064887.366855,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/17847410537998728747,,1,2155193231,4000
1472064887.366895,,,EthernetFrame,96,DATA,/test/pingserver/ping/3887343085482957292,1000,,,
1472064887.366917,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/16498734565840946028,,1,1699905221,4000
1472064887.366942,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14430724323065940920,,1,1482869880,4000
1472064887.366967,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/8603938537114185652,,1,241501123,4000
1472064887.366973,,,EthernetFrame,97,DATA,/test/pingserver/ping/14092481308067153102,1000,,,
1472064887.367063,,,EthernetFrame,97,DATA,/test/pingserver/ping/17847410537998728747,1000,,,
1472064887.367145,,,EthernetFrame,97,DATA,/test/pingserver/ping/16498734565840946028,1000,,,
1472064887.367221,,,EthernetFrame,97,DATA,/test/pingserver/ping/14430724323065940920,1000,,,
1472064887.367256,,,EthernetFrame,96,DATA,/test/pingserver/ping/8603938537114185652,1000,,,
1472064887.367260,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/2441659746067994092,,1,2701625920,4000
1472064887.367349,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265500762,,1,2272150694,4000
1472064887.367355,,,EthernetFrame,96,DATA,/test/pingserver/ping/2441659746067994092,1000,,,
1472064887.367454,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265500762,1000,,,
1472064887.367480,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/5049347067686135192,,1,2223473922,4000
1472064887.367539,,,EthernetFrame,58,INTEREST,/test/pingserver/ping/399070766912774366,,1,3116495148,4000
1472064887.367600,,,EthernetFrame,96,DATA,/test/pingserver/ping/5049347067686135192,1000,,,
1472064887.367634,,,EthernetFrame,95,DATA,/test/pingserver/ping/399070766912774366,1000,,,
1472064887.367823,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/3887343085482957293,,1,1629709344,4000
1472064887.367847,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14092481308067153103,,1,3345363980,4000
1472064887.367883,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/17847410537998728748,,1,1096548897,4000
1472064887.367921,,,EthernetFrame,96,DATA,/test/pingserver/ping/3887343085482957293,1000,,,
1472064887.367944,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/16498734565840946029,,1,2657519754,4000
1472064887.367959,,,EthernetFrame,97,DATA,/test/pingserver/ping/14092481308067153103,1000,,,
1472064887.367972,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14430724323065940921,,1,312120588,4000
1472064887.367998,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/8603938537114185653,,1,1174184903,4000
1472064887.368110,,,EthernetFrame,97,DATA,/test/pingserver/ping/17847410537998728748,1000,,,
1472064887.368148,,,EthernetFrame,97,DATA,/test/pingserver/ping/16498734565840946029,1000,,,
1472064887.368181,,,EthernetFrame,97,DATA,/test/pingserver/ping/14430724323065940921,1000,,,
1472064887.368281,,,EthernetFrame,96,DATA,/test/pingserver/ping/8603938537114185653,1000,,,
1472064887.368288,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/2441659746067994093,,1,3586358486,4000
1472064887.368378,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265500763,,1,1976992328,4000
1472064887.368387,,,EthernetFrame,96,DATA,/test/pingserver/ping/2441659746067994093,1000,,,
1472064887.368476,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265500763,1000,,,
1472064887.368511,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/5049347067686135193,,1,2073293058,4000
1472064887.368568,,,EthernetFrame,58,INTEREST,/test/pingserver/ping/399070766912774367,,1,1038312891,4000
1472064887.368607,,,EthernetFrame,96,DATA,/test/pingserver/ping/5049347067686135193,1000,,,
1472064887.368697,,,EthernetFrame,95,DATA,/test/pingserver/ping/399070766912774367,1000,,,
1472064887.368852,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/3887343085482957294,,1,152880426,4000
1472064887.368875,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14092481308067153104,,1,452913204,4000
1472064887.368910,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/17847410537998728749,,1,1323063274,4000
1472064887.368950,,,EthernetFrame,96,DATA,/test/pingserver/ping/3887343085482957294,1000,,,
1472064887.368969,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/16498734565840946030,,1,3100060422,4000
1472064887.368995,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14430724323065940922,,1,1272740046,4000
1472064887.369019,,,EthernetFrame,97,DATA,/test/pingserver/ping/14092481308067153104,1000,,,
1472064887.369020,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/8603938537114185654,,1,2318934564,4000
1472064887.369085,,,EthernetFrame,97,DATA,/test/pingserver/ping/17847410537998728749,1000,,,
1472064887.369146,,,EthernetFrame,97,DATA,/test/pingserver/ping/16498734565840946030,1000,,,
1472064887.369209,,,EthernetFrame,97,DATA,/test/pingserver/ping/14430724323065940922,1000,,,
1472064887.369252,,,EthernetFrame,96,DATA,/test/pingserver/ping/8603938537114185654,1000,,,
1472064887.369346,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/2441659746067994094,,1,1089651602,4000
1472064887.369403,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265500764,,1,2397681621,4000
1472064887.369442,,,EthernetFrame,96,DATA,/test/pingserver/ping/2441659746067994094,1000,,,
1472064887.369536,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265500764,1000,,,
1472064887.369538,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/5049347067686135194,,1,2517600944,4000
1472064887.369574,,,EthernetFrame,58,INTEREST,/test/pingserver/ping/399070766912774368,,1,2296241382,4000
1472064887.369651,,,EthernetFrame,96,DATA,/test/pingserver/ping/5049347067686135194,1000,,,
1472064887.369688,,,EthernetFrame,95,DATA,/test/pingserver/ping/399070766912774368,1000,,,
1472064887.369880,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/3887343085482957295,,1,3965415176,4000
1472064887.369903,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14092481308067153105,,1,896266469,4000
1472064887.369938,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/17847410537998728750,,1,424888237,4000
1472064887.369978,,,EthernetFrame,96,DATA,/test/pingserver/ping/3887343085482957295,1000,,,
1472064887.369993,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/16498734565840946031,,1,2953657183,4000
1472064887.370021,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14430724323065940923,,1,1226501278,4000
1472064887.370044,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/8603938537114185655,,1,3371256152,4000
1472064887.370048,,,EthernetFrame,97,DATA,/test/pingserver/ping/14092481308067153105,1000,,,
1472064887.370113,,,EthernetFrame,97,DATA,/test/pingserver/ping/17847410537998728750,1000,,,
1472064887.370174,,,EthernetFrame,97,DATA,/test/pingserver/ping/16498734565840946031,1000,,,
1472064887.370236,,,EthernetFrame,97,DATA,/test/pingserver/ping/14430724323065940923,1000,,,
1472064887.370281,,,EthernetFrame,96,DATA,/test/pingserver/ping/8603938537114185655,1000,,,
1472064887.370372,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/2441659746067994095,,1,2201254026,4000
1472064887.370431,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265500765,,1,1989802141,4000
1472064887.370472,,,EthernetFrame,96,DATA,/test/pingserver/ping/2441659746067994095,1000,,,
1472064887.370561,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265500765,1000,,,
1472064887.370566,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/5049347067686135195,,1,1807822114,4000
1472064887.370601,,,EthernetFrame,58,INTEREST,/test/pingserver/ping/399070766912774369,,1,2425614098,4000
1472064887.370663,,,EthernetFrame,96,DATA,/test/pingserver/ping/5049347067686135195,1000,,,
1472064887.370700,,,EthernetFrame,95,DATA,/test/pingserver/ping/399070766912774369,1000,,,
1472064887.370908,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/3887343085482957296,,1,3875776816,4000
1472064887.370932,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14092481308067153106,,1,4058168056,4000
1472064887.370966,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/17847410537998728751,,1,3778111553,4000
1472064887.371006,,,EthernetFrame,96,DATA,/test/pingserver/ping/3887343085482957296,1000,,,
1472064887.371019,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/16498734565840946032,,1,1777629149,4000
1472064887.371047,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14430724323065940924,,1,1319097807,4000
1472064887.371072,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/8603938537114185656,,1,1979805204,4000
1472064887.371075,,,EthernetFrame,97,DATA,/test/pingserver/ping/14092481308067153106,1000,,,
1472064887.371146,,,EthernetFrame,97,DATA,/test/pingserver/ping/17847410537998728751,1000,,,
1472064887.371207,,,EthernetFrame,97,DATA,/test/pingserver/ping/16498734565840946032,1000,,,
1472064887.371269,,,EthernetFrame,97,DATA,/test/pingserver/ping/14430724323065940924,1000,,,
1472064887.371310,,,EthernetFrame,96,DATA,/test/pingserver/ping/8603938537114185656,1000,,,
1472064887.371402,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/2441659746067994096,,1,764067057,4000
1472064887.371459,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265500766,,1,4248064267,4000
1472064887.371498,,,EthernetFrame,96,DATA,/test/pingserver/ping/2441659746067994096,1000,,,
1472064887.371589,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265500766,1000,,,
1472064887.371591,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/5049347067686135196,,1,2521938298,4000
1472064887.371628,,,EthernetFrame,58,INTEREST,/test/pingserver/ping/399070766912774370,,1,1315378019,4000
1472064887.371690,,,EthernetFrame,96,DATA,/test/pingserver/ping/5049347067686135196,1000,,,
1472064887.371725,,,EthernetFrame,95,DATA,/test/pingserver/ping/399070766912774370,1000,,,
1472064887.371935,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/3887343085482957297,,1,1619209915,4000
1472064887.371959,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14092481308067153107,,1,1900384882,4000
1472064887.371996,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/17847410537998728752,,1,1369984155,4000
1472064887.372033,,,EthernetFrame,96,DATA,/test/pingserver/ping/3887343085482957297,1000,,,
1472064887.372042,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/16498734565840946033,,1,560685359,4000
1472064887.372070,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14430724323065940925,,1,2062371748,4000
1472064887.372074,,,EthernetFrame,97,DATA,/test/pingserver/ping/14092481308067153107,1000,,,
1472064887.372097,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/8603938537114185657,,1,3892129366,4000
1472064887.372162,,,EthernetFrame,97,DATA,/test/pingserver/ping/17847410537998728752,1000,,,
1472064887.372220,,,EthernetFrame,97,DATA,/test/pingserver/ping/16498734565840946033,1000,,,
1472064887.372281,,,EthernetFrame,97,DATA,/test/pingserver/ping/14430724323065940925,1000,,,
1472064887.372326,,,EthernetFrame,96,DATA,/test/pingserver/ping/8603938537114185657,1000,,,
1472064887.372430,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/2441659746067994097,,1,2721417442,4000
1472064887.372488,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265500767,,1,566231173,4000
1472064887.372527,,,EthernetFrame,96,DATA,/test/pingserver/ping/2441659746067994097,1000,,,
1472064887.372616,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/5049347067686135197,,1,256944263,4000
1472064887.372621,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265500767,1000,,,
1472064887.372653,,,EthernetFrame,58,INTEREST,/test/pingserver/ping/399070766912774371,,1,2942185239,4000
1472064887.372715,,,EthernetFrame,96,DATA,/test/pingserver/ping/5049347067686135197,1000,,,
1472064887.372752,,,EthernetFrame,95,DATA,/test/pingserver/ping/399070766912774371,1000,,,
1472064887.372964,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/3887343085482957298,,1,3423159039,4000
1472064887.372988,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14092481308067153108,,1,2624153732,4000
1472064887.373025,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/17847410537998728753,,1,639910730,4000
1472064887.373064,,,EthernetFrame,96,DATA,/test/pingserver/ping/3887343085482957298,1000,,,
1472064887.373070,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/16498734565840946034,,1,246830275,4000
1472064887.373097,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14430724323065940926,,1,3279055156,4000
1472064887.373105,,,EthernetFrame,97,DATA,/test/pingserver/ping/14092481308067153108,1000,,,
